Tensao,Corrente
12.11,228.36
12.11,207.96
12.13,207.67
12.11,211.50
12.11,208.00
12.11,210.68
12.11,224.34
12.08,258.52
12.08,294.27
12.06,356.88
12.06,376.25
12.06,374.48
12.06,365.39
12.06,363.22
12.08,340.38
12.06,340.31
12.06,361.67
12.06,352.14
12.06,354.08
12.06,341.53
12.06,359.86
12.06,346.51
12.04,352.90
12.06,346.19
12.06,346.51
12.06,339.14
12.06,335.44
12.06,343.19
12.08,347.90
12.06,347.01
12.06,348.16
12.08,334.18
12.06,335.22
12.08,352.52
12.06,350.15
12.08,336.02
12.06,350.10
12.06,345.80
12.06,365.63
12.06,372.07
12.01,538.62
12.01,485.43
12.01,488.38
12.01,516.10
12.04,513.76
11.99,484.76
12.04,488.98
12.04,489.46
12.04,485.71
12.01,504.86
12.01,500.80
12.01,494.72
12.01,496.29
12.01,489.87
12.01,495.52
12.01,500.39
12.01,498.65
12.01,495.47
12.04,497.43
12.01,501.37
12.01,494.71
12.01,486.73
12.01,495.69
11.99,578.42
11.99,626.01
11.99,665.61
11.96,719.07
11.96,783.86
11.96,820.62
11.91,796.51
11.91,859.02
11.94,864.48
11.91,1070.07
11.89,1072.90
11.86,1116.19
11.84,1118.23
11.84,1089.23
11.84,1127.90
11.86,1122.63
11.89,1126.20
11.89,1147.44
11.86,1121.32
11.86,1129.82
11.84,1107.60
11.86,1105.94
11.86,1163.57
11.86,1144.83
11.86,1119.28
11.84,1115.50
11.86,1136.28
11.86,1133.17
11.84,1157.81
11.86,1139.36
11.86,1126.96
11.84,1123.30
11.84,1117.23
11.86,1134.81
11.86,1147.46
11.86,1147.52
11.86,1109.58
11.84,1110.93
11.86,1147.48
11.86,1140.55
11.84,1150.80
11.84,1154.83
11.86,1116.29
11.84,1115.18
11.84,1136.85
11.81,1123.82
11.84,1156.57
11.81,1149.53
11.86,1120.15
11.81,1114.21
11.86,1131.90
11.84,1121.69
11.84,1147.05
11.84,1119.35
11.86,1141.30
11.84,1119.84
11.84,1094.82
11.84,1116.03
11.84,1100.28
11.84,1140.93
11.86,1111.33
11.84,1131.37
11.81,1126.06
11.84,1147.42
11.84,1143.73
11.84,1138.46
11.81,1184.40
11.81,1191.89
11.79,1271.57
11.81,1331.68
11.79,1371.19
11.81,1386.35
11.81,1406.75
11.81,1377.32
11.81,1464.77
11.79,1546.37
11.76,1592.26
11.76,1768.42
11.71,1811.66
11.76,1852.78
11.71,1867.65
11.69,1847.93
11.71,1865.90
11.71,1810.12
11.74,1829.46
11.71,1641.77
11.69,1666.92
11.71,1651.49
11.69,2016.16
11.67,2031.00
11.62,2065.60
11.67,2052.85
11.67,2017.20
11.67,2054.32
11.64,2023.89
11.67,2028.99
11.67,2052.66
11.69,2072.53
11.64,2054.47
11.67,2067.83
11.67,2038.27
11.67,2046.74
11.67,2036.10
11.64,2043.10
11.67,2077.42
11.64,2066.27
11.64,2024.43
11.67,2071.06
11.59,2288.41
11.62,2272.06
11.59,2488.95
11.59,2494.24
11.57,2544.81
